date,actual,fitted,residual
2011-01-27,0.0043752875783886,0.0043751875752608,1.0000312780037574e-07
2011-01-28,0.0043752828233976,0.0043752678577875,1.4965610100128868e-08
2011-01-29,0.0043752748395083,0.0043752632474625,1.1592045799820039e-08
2011-01-30,0.0043751295538122,0.0043752540142994,-1.2446048719937097e-07
2011-01-31,0.0043751896319928,0.0043751198418718,6.979012099998794e-08
2011-02-01,0.0043752497101734,0.0043751828285092,6.688166419993591e-08
2011-02-02,0.0043752448677317,0.0043752144472887,3.042044300054919e-08
2011-02-03,0.0043752379310419,0.0043752254276773,1.2503364600624511e-08
2011-02-04,0.0043752321869101,0.0043752216277776,1.0559132499789181e-08
2011-02-05,0.0043752264427783,0.0043752089757873,1.746699100028254e-08
2011-02-06,0.0043752206986466,0.0043752060296205,1.4669026099714544e-08
2011-02-07,0.0043752117987263,0.0043751999160403,1.1882686000094789e-08
2011-02-08,0.0043752091377505,0.0043751902617701,1.8875980400262504e-08
2011-02-09,0.0043751994960964,0.0043751878008624,1.169523399999206e-08
2011-02-10,0.0043751912069002,0.0043751775629324,1.3643967799320533e-08
2011-02-11,0.0043751829612787,0.0043751701049224,1.2856356299863203e-08
2011-02-12,0.0043751734505331,0.0043751613333213,1.2117211799916872e-08
2011-02-13,0.0043751672991291,0.0043751520672397,1.5231889399953957e-08
2011-02-14,0.0043751567412211,0.0043751459473692,1.0793851899955353e-08
2011-02-15,0.0043751464451293,0.0043751352974174,1.1147711899417434e-08
2011-02-16,0.0043751375887172,0.0043751258536772,1.173504000050174e-08
2011-02-17,0.0043751337058799,0.0043751169070609,1.6798818999914922e-08
2011-02-18,0.004375123889676,0.004375112740523,1.114915300012842e-08
2011-02-19,0.0043751086200495,0.0043751031052688,5.5147807006758476e-09
2011-02-20,0.0043750917359918,0.0043750893041083,2.431883500131349e-09
2011-02-21,0.0043750542150909,0.0043750730410707,-1.8825979800247972e-08
2011-02-22,0.0043750437007454,0.0043750381230393,5.577706100809432e-09
2011-02-23,0.0043750323575902,0.0043750292243001,3.133290099599506e-09
2011-02-24,0.0043750259225352,0.0043750152658955,1.0656639700019899e-08
2011-02-25,0.0043750194874803,0.004375011207017,8.280463300279484e-09
2011-02-26,0.0043750039997537,0.0043750045831114,-5.833577006869595e-10
2011-02-27,0.0043749946635383,0.0043749903779438,4.285594499935097e-09
2011-02-28,0.0043749859380988,0.0043749826547278,3.2833709995641613e-09
2011-03-01,0.0043749772127346,0.0043749735361576,3.676577000309711e-09
2011-03-02,0.0043749685745181,0.0043749661057673,2.468750799275443e-09
2011-03-03,0.0043749591510293,0.0043749583621185,7.889107995345812e-10
2011-03-04,0.0043749497275406,0.0043749497221859,5.354700190196571e-12
2011-03-05,0.0043749394314642,0.0043749414123888,-1.980924599701006e-09
