timestamp,residual
2011-01-29,0.010002203954475894
2011-01-30,0.008574395344264
2011-02-01,0.0438132980101121
2011-02-02,0.03083149546379597
2011-02-03,0.008857057421816231
2011-02-06,0.007878554231562399
2011-02-07,0.007107150228572816
2011-02-08,0.00730603339722317
2011-02-09,0.008242513403426225
2011-02-10,0.006685169465678579
2011-02-11,0.006758578103169081
2011-02-12,0.006544640707488725
2011-02-13,0.006186841981616453
2011-02-14,0.006594112654511264
2011-02-15,0.005524961423968004
2011-02-16,0.005445793115692747
2011-02-17,0.005665301300268766
2011-02-18,0.006424848849898505
2011-02-19,0.005064994883923646
2011-02-20,0.0052099371375031
2011-02-21,0.004810137295559495
2011-02-22,0.006415811182402346
2011-02-23,0.0051008244507405225
2011-02-25,0.005143252166211217
2011-02-26,0.0052224646803248715
2011-02-27,0.005469204689688922
2011-02-28,0.005152206894005455
2011-03-01,0.005130685768259961
2011-03-02,0.005142811974261956
2011-03-04,0.005081925229812138
2011-03-05,0.005757521404575527
2011-03-07,0.005347635337329848
2011-03-08,0.0073382070875898835
2011-03-09,0.005410359686114437
2011-03-10,0.01393253642208947
2011-03-11,0.049730778622991544
2011-03-12,0.03570949953442929
2011-03-13,0.005184431850314771
2011-03-14,0.005101277877201937
2011-03-15,0.005064425245260888
2011-03-16,0.004984199656367612
2011-03-17,0.005299143738587493
2011-03-18,0.0052683826538668654
2011-03-19,0.0049010509566566425
2011-03-20,0.004815101564721165
2011-03-21,0.00451461868806291
2011-03-22,0.00430085723276837
2011-03-23,0.004209355312771852
2011-03-24,0.010036446894749437
2011-03-25,0.034940598733858984
2011-03-26,0.027832474081909215
2011-03-27,0.003789202198277053
2011-03-28,0.0035976417492141386
2011-03-29,0.05461257177148582
2011-03-30,0.06731774576928728
2011-03-31,0.022599307016510767
2011-04-01,0.0205782096660793
2011-04-02,0.020412647873096528
2011-04-03,0.01900087306497274
2011-04-04,0.017963747907288052
2011-04-05,0.017322708223976708
2011-04-06,0.016338092478842253
2011-04-07,0.015603299514168611
2011-04-08,0.014880197304743584
2011-04-09,0.013832831228076733
2011-04-10,0.013106529656852217
2011-04-11,0.012288449275123034
2011-04-12,0.011595421677156992
2011-04-13,0.010753697682806282
2011-04-14,0.010247878291617477
2011-04-15,0.006742322150785185
2011-04-16,0.010568870619105534
2011-04-17,0.007788249637390739
2011-04-18,0.006708273758552726
2011-04-19,0.00693098849690917
2011-04-20,0.006943206682080927
2011-04-21,0.006065987127385597
2011-04-22,0.00649612452252768
2011-04-23,0.007837023012749947
2011-04-24,0.005818898111404754
2011-04-25,0.006407903057151998
2011-04-26,0.00621771023012722
2011-04-27,0.006219431312880867
2011-04-28,0.005873496655719161
2011-04-29,0.005303555980087064
2011-04-30,0.005587318638693735
2011-05-01,0.0052208648968796
2011-05-02,0.005720479963808127
2011-05-03,0.009133755739640037
2011-05-04,0.0052972610066414445
2011-05-05,0.005050126882300295
2011-05-06,0.005210212602984636
2011-05-07,0.005114914620056273
2011-05-08,0.004977664038809356
2011-05-09,0.005223861605675968
2011-05-10,0.0051930458507740695
2011-05-11,0.005039632634028142
2011-05-12,0.005054962517381985
2011-05-13,0.005392075922221314
2011-05-14,0.005209970629342327
2011-05-15,0.005260712805162863
2011-05-18,0.0049780198980139785
2011-05-19,0.00653985510810647
2011-05-20,0.0052311453670578585
2011-05-21,0.008142204628105295
2011-05-22,0.004982689228654635
2011-05-23,0.0048510722055349715
2011-05-24,0.004821843522525644
2011-05-25,0.00489037214841422
2011-05-26,0.00461887204649732
2011-05-27,0.004771909968894761
2011-05-28,0.004785674249887961
2011-05-29,0.004519191625756018
2011-05-30,0.004646300505858865
2011-05-31,0.004963555002026017
2011-06-01,0.004372807430172543
2011-06-02,0.010630898463811414
2011-06-04,0.05697364040164151
2011-06-05,0.05306898327823243
2011-06-06,0.007375298443093925
2011-06-07,0.007949878919286371
2011-06-08,0.0061346037239976186
2011-06-09,0.006023653714388881
2011-06-10,0.005728930145626994
2011-06-11,0.0055732255405018805
2011-06-12,0.0056835740677646145
2011-06-13,0.005257890454383111
2011-06-14,0.0052394877207007085
2011-06-15,0.0052923156395081605
2011-06-16,0.00527088439897246
2011-06-17,0.006042332991000876
2011-06-18,0.005333791256665184
2011-06-19,0.005034897754133756
2011-06-20,0.005049013949398311
2011-06-21,0.0049499167397092
2011-06-22,0.005036293814858557
2011-06-23,0.005128290795558617
2011-06-24,0.004931056806071865
2011-06-25,0.005174203708975256
2011-06-26,0.0049191903794962855
2011-06-27,0.004940071932651335
2011-06-29,0.005285757121934391
2011-06-30,0.0051462845791926766
2011-07-01,0.005537800443562446
2011-07-02,0.005209957123194424
2011-07-03,0.005279732069539023
2011-07-05,0.00496811140904659
2011-07-06,0.00592301803059551
2011-07-07,0.005369403712696415
2011-07-08,0.006257145623597656
2011-07-09,0.010872985079458886
2011-07-10,0.004789822961811296
2011-07-11,0.004846037251657738
2011-07-13,0.004655314610621038
2011-07-14,0.005017282533268978
2011-07-15,0.004633065602016965
2011-07-16,0.0041102771597252286
2011-07-17,0.004205408914306948
2011-07-18,0.0053050505101358185
2011-07-20,0.003833750170239606
2011-07-21,0.005265624055027729
2011-07-22,0.009312185134300913
2011-07-23,0.04689432340061709
2011-07-24,0.04218242504687927
2011-07-25,0.0034755977048916975
2011-07-26,0.003263540222784892
2011-07-27,0.002906807685728078
2011-07-28,0.007646128182993077
2011-07-29,0.03814273664753879
2011-07-30,0.031879028956761125
2011-07-31,0.0015849657737210994
2011-08-01,0.008422449068802962
2011-08-02,0.0056630819954079925
