model,window_days,threshold,precision,recall
arima,1,9.969199077364266e-12,0.024117140396210164,0.9824561403508771
arima,1,1.9981100107813177e-11,0.024127531236535976,0.9824561403508771
arima,1,3.8477394881386566e-11,0.02413793103448276,0.9824561403508771
arima,1,4.817500565135191e-11,0.02414833980163864,0.9824561403508771
arima,1,4.9345305619397095e-11,0.024158757549611734,0.9824561403508771
arima,1,5.898299904050219e-11,0.02416918429003021,0.9824561403508771
arima,1,6.331899587985744e-11,0.024179620034542316,0.9824561403508771
arima,1,6.363549964749636e-11,0.024190064794816415,0.9824561403508771
arima,1,6.484539988305116e-11,0.024200518582541054,0.9824561403508771
arima,1,6.957640019678024e-11,0.02421098140942499,0.9824561403508771
arima,1,7.962479980916369e-11,0.02422145328719723,0.9824561403508771
arima,1,8.62635032850001e-11,0.024231934227607096,0.9824561403508771
arima,1,9.9281305399046e-11,0.024242424242424242,0.9824561403508771
arima,1,1.0195660288259134e-10,0.024252923343438718,0.9824561403508771
arima,1,1.0224040364326116e-10,0.024263431542461005,0.9824561403508771
arima,1,1.0875760014794622e-10,0.024273948851322065,0.9824561403508771
arima,1,1.1693970097814701e-10,0.024284475281873375,0.9824561403508771
arima,1,1.402886973256301e-10,0.024295010845986984,0.9824561403508771
arima,1,1.4172430590209115e-10,0.024305555555555556,0.9824561403508771
arima,1,1.4201449738404648e-10,0.0243161094224924,0.9824561403508771
arima,1,1.4327259517665778e-10,0.02432667245873154,0.9824561403508771
arima,1,1.4725230063072914e-10,0.024337244676227728,0.9824561403508771
arima,1,1.557702022925156e-10,0.02434782608695652,0.9824561403508771
arima,1,1.6525460166949555e-10,0.02435841670291431,0.9824561403508771
arima,1,1.707676014484072e-10,0.024369016536118365,0.9824561403508771
arima,1,1.7830539822405456e-10,0.024379625598606878,0.9824561403508771
arima,1,1.8363729981096808e-10,0.024390243902439025,0.9824561403508771
arima,1,1.8665639867077036e-10,0.024400871459694988,0.9824561403508771
arima,1,1.8853189842626958e-10,0.024411508282476024,0.9824561403508771
arima,1,1.950802991368405e-10,0.02442215438290449,0.9824561403508771
arima,1,1.9989580130053144e-10,0.02443280977312391,0.9824561403508771
arima,1,2.1374550046582286e-10,0.024443474465298997,0.9824561403508771
arima,1,2.1405439920574307e-10,0.02445414847161572,0.9824561403508771
arima,1,2.1649830539427484e-10,0.024464831804281346,0.9824561403508771
arima,1,2.246228966718e-10,0.024475524475524476,0.9824561403508771
arima,1,2.606473994970493e-10,0.024486226497595104,0.9824561403508771
arima,1,2.689145989220876e-10,0.024496937882764653,0.9824561403508771
arima,1,2.6915550344064343e-10,0.02450765864332604,0.9824561403508771
arima,1,2.7045300027284114e-10,0.024518388791593695,0.9824561403508771
arima,1,2.758886036291486e-10,0.024529128339903637,0.9824561403508771
arima,1,2.796881962141562e-10,0.024529128339903637,0.9824561403508771
arima,1,2.955218014744076e-10,0.024539877300613498,0.9824561403508771
arima,1,2.979943028447174e-10,0.024550635686102586,0.9824561403508771
arima,1,2.9910170173952366e-10,0.02456140350877193,0.9824561403508771
arima,1,3.0589759891785917e-10,0.02457218078104432,0.9824561403508771
arima,1,3.0708439957560785e-10,0.024582967515364356,0.9824561403508771
arima,1,3.0727440036848463e-10,0.024593763724198508,0.9824561403508771
arima,1,3.0946700063649857e-10,0.02460456942003515,0.9824561403508771
arima,1,3.122141989386762e-10,0.024615384615384615,0.9824561403508771
arima,1,3.138599033447597e-10,0.024626209322779244,0.9824561403508771
arima,1,3.1434520264550514e-10,0.024637043554773426,0.9824561403508771
arima,1,3.1578619580363565e-10,0.02464788732394366,0.9824561403508771
arima,1,3.3218879730290135e-10,0.024658740642888595,0.9824561403508771
arima,1,3.328812989145113e-10,0.024669603524229075,0.9824561403508771
arima,1,3.35284702779326e-10,0.0246804759806082,0.9824561403508771
arima,1,3.364008030470877e-10,0.024691358024691357,0.9824561403508771
arima,1,3.389174982326715e-10,0.024702249669166298,0.9824561403508771
arima,1,3.42839999445399e-10,0.02471315092674316,0.9824561403508771
arima,1,3.5274309861943465e-10,0.024724061810154525,0.9824561403508771
arima,1,3.69045502490728e-10,0.024734982332155476,0.9824561403508771
arima,1,3.6967930105991087e-10,0.024745912505523642,0.9824561403508771
arima,1,3.7107229788890805e-10,0.02475685234305924,0.9824561403508771
arima,1,3.9537879914508517e-10,0.02476780185758514,0.9824561403508771
arima,1,4.0736909678873445e-10,0.024778761061946902,0.9824561403508771
arima,1,4.100612002733151e-10,0.02478972996901284,0.9824561403508771
arima,1,4.1259889949074586e-10,0.024800708591674048,0.9824561403508771
arima,1,4.2176719755593334e-10,0.024811696942844484,0.9824561403508771
arima,1,4.3156880152883654e-10,0.024822695035460994,0.9824561403508771
arima,1,4.3484860157150246e-10,0.02483370288248337,0.9824561403508771
arima,1,4.366238967601354e-10,0.024844720496894408,0.9824561403508771
arima,1,4.4098989737673117e-10,0.024855747891699954,0.9824561403508771
arima,1,4.511643003635157e-10,0.02486678507992895,0.9824561403508771
arima,1,4.573610032365672e-10,0.024877832074633496,0.9824561403508771
arima,1,4.6176340529058274e-10,0.024888888888888887,0.9824561403508771
arima,1,4.625311036954294e-10,0.024899955535793685,0.9824561403508771
arima,1,4.693581009962422e-10,0.02491103202846975,0.9824561403508771
arima,1,4.89249099566713e-10,0.024922118380062305,0.9824561403508771
arima,1,4.921374002764266e-10,0.024933214603739984,0.9824561403508771
arima,1,4.956884971929475e-10,0.024944320712694878,0.9824561403508771
arima,1,4.983409032655041e-10,0.024955436720142603,0.9824561403508771
arima,1,5.037286004982987e-10,0.024966562639322336,0.9824561403508771
arima,1,5.178239989578336e-10,0.024977698483496878,0.9824561403508771
arima,1,5.337908032254646e-10,0.0249888442659527,0.9824561403508771
arima,1,5.420952992052364e-10,0.025,0.9824561403508771
arima,1,5.456564991512812e-10,0.025011165698972757,0.9824561403508771
arima,1,5.664485061562806e-10,0.025022341376228777,0.9824561403508771
arima,1,5.705877020867334e-10,0.025033527045149755,0.9824561403508771
arima,1,5.706205993827318e-10,0.025044722719141325,0.9824561403508771
arima,1,5.810946029916052e-10,0.02505592841163311,0.9824561403508771
arima,1,5.869723040952124e-10,0.025067144136078783,0.9824561403508771
arima,1,5.884264048239274e-10,0.025078369905956112,0.9824561403508771
arima,1,5.939947006483591e-10,0.025089605734767026,0.9824561403508771
arima,1,5.950839959689701e-10,0.02510085163603765,0.9824561403508771
arima,1,5.951965031947282e-10,0.025112107623318385,0.9824561403508771
arima,1,6.155296966570133e-10,0.02512337371018394,0.9824561403508771
arima,1,6.256654985770105e-10,0.025134649910233394,0.9824561403508771
arima,1,6.281953984776932e-10,0.025145936237090254,0.9824561403508771
arima,1,6.461407034419331e-10,0.025157232704402517,0.9824561403508771
arima,1,6.472576016824937e-10,0.025168539325842697,0.9824561403508771
arima,1,6.50934396662084e-10,0.025179856115107913,0.9824561403508771
arima,1,6.52334700146362e-10,0.025191183085919926,0.9824561403508771
arima,1,6.532434038142299e-10,0.025202520252025202,0.9824561403508771
arima,1,6.574173982976106e-10,0.025213867627194957,0.9824561403508771
arima,1,6.585876982656558e-10,0.025225225225225224,0.9824561403508771
arima,1,6.608925975926104e-10,0.025236593059936908,0.9824561403508771
arima,1,6.64329202759717e-10,0.025247971145175834,0.9824561403508771
arima,1,6.674020988639562e-10,0.02525935949481281,0.9824561403508771
arima,1,6.753786974122987e-10,0.02527075812274368,0.9824561403508771
arima,1,6.823895962182468e-10,0.02528216704288939,0.9824561403508771
arima,1,6.837937993608988e-10,0.025293586269196026,0.9824561403508771
arima,1,6.849122033414368e-10,0.025305015815634886,0.9824561403508771
arima,1,7.024708037484118e-10,0.02531645569620253,0.9824561403508771
arima,1,7.030197951563011e-10,0.02532790592492085,0.9824561403508771
arima,1,7.20802605103099e-10,0.025339366515837104,0.9824561403508771
