model,window_days,threshold,precision,recall
arima,1,5.820184889593348e-10,0.016614420062695926,0.9814814814814815
arima,1,5.865744001631866e-10,0.016619629978049544,0.9814814814814815
arima,1,5.874135899919253e-10,0.016624843161856962,0.9814814814814815
arima,1,6.023773979624281e-10,0.016630059617194853,0.9814814814814815
arima,1,6.068591046348715e-10,0.016635279347143754,0.9814814814814815
arima,1,6.212143993655771e-10,0.01664050235478807,0.9814814814814815
arima,1,6.214886938415987e-10,0.01664572864321608,0.9814814814814815
arima,1,6.285141018746997e-10,0.01665095821551995,0.9814814814814815
arima,1,6.385768996919339e-10,0.016656191074795726,0.9814814814814815
arima,1,6.393020002271044e-10,0.016661427224143353,0.9814814814814815
arima,1,6.462248097749422e-10,0.016666666666666666,0.9814814814814815
arima,1,6.508300010032997e-10,0.01667190940547342,0.9814814814814815
arima,1,6.533916047102294e-10,0.01667715544367527,0.9814814814814815
arima,1,6.549967096480812e-10,0.01668240478438779,0.9814814814814815
arima,1,6.73136699158583e-10,0.016687657430730477,0.9814814814814815
arima,1,6.979426064868122e-10,0.01669291338582677,0.9814814814814815
arima,1,7.260977097356403e-10,0.016698172652804034,0.9814814814814815
arima,1,7.311737049153776e-10,0.01670343523479357,0.9814814814814815
arima,1,7.312168093243088e-10,0.016708701134930642,0.9814814814814815
arima,1,7.387429001859401e-10,0.01671397035635446,0.9814814814814815
arima,1,7.55163195864661e-10,0.016719242902208203,0.9814814814814815
arima,1,7.594972012414657e-10,0.016724518775639,0.9814814814814815
arima,1,7.637190047038445e-10,0.01672979797979798,0.9814814814814815
arima,1,7.774134114235665e-10,0.01673508051784023,0.9814814814814815
arima,1,7.801296969534022e-10,0.016740366392924828,0.9814814814814815
arima,1,7.898545012485768e-10,0.016745655608214848,0.9814814814814815
arima,1,7.916630129223278e-10,0.01675094816687737,0.9814814814814815
arima,1,8.019145902871117e-10,0.016756244072083464,0.9814814814814815
arima,1,8.024166053832714e-10,0.016761543327008223,0.9814814814814815
arima,1,8.117684996422624e-10,0.01676684593483075,0.9814814814814815
arima,1,8.143334062626906e-10,0.016772151898734176,0.9814814814814815
arima,1,8.208650009722263e-10,0.016777461221905668,0.9814814814814815
arima,1,8.277169921688811e-10,0.016782773907536415,0.9814814814814815
arima,1,8.400975054501102e-10,0.016788089958821667,0.9814814814814815
arima,1,8.404192064492833e-10,0.01679340937896071,0.9814814814814815
arima,1,8.443235971489215e-10,0.016798732171156894,0.9814814814814815
arima,1,8.518459965189962e-10,0.016804058338617627,0.9814814814814815
arima,1,8.527758915688465e-10,0.016809387884554394,0.9814814814814815
arima,1,8.656836913978339e-10,0.01681472081218274,0.9814814814814815
arima,1,8.779958010629584e-10,0.01682005712472231,0.9814814814814815
arima,1,8.783236915554936e-10,0.016825396825396827,0.9814814814814815
arima,1,8.79039202539289e-10,0.016830739917434105,0.9814814814814815
arima,1,8.831030906542026e-10,0.016830739917434105,0.9814814814814815
