date,actual,fitted,residual
2016-03-04,0.0622901374821452,0.0622902114771435,-7.399499830224032e-08
2016-03-05,0.0622901245851963,0.0622901522600343,-2.7674837997648805e-08
2016-03-06,0.0622900849181995,0.0622901404176097,-5.549941019949989e-08
2016-03-07,0.0622900715732621,0.0622901029292366,-3.135597449743788e-08
2016-03-08,0.0622900705682888,0.062290091121887,-2.0553598198413958e-08
2016-03-09,0.0622901622132918,0.0622900925435195,6.966977229849736e-08
2016-03-10,0.0622901622132918,0.0622901812765338,-1.9063242005790126e-08
2016-03-11,0.0622901912484303,0.0622901776031084,1.3645321900179752e-08
2016-03-12,0.0622902393794011,0.0622902004311279,3.8948273196892647e-08
2016-03-13,0.06229025505822,0.0622902456349149,9.423305101508017e-09
2016-03-14,0.0622902665573263,0.0622902645622752,1.9950511034871887e-09
2016-03-15,0.0622903002232813,0.0622902705886482,2.9634633101627283e-08
2016-03-16,0.0622903336334398,0.0622903076035427,2.6029897098878152e-08
2016-03-17,0.0622903898589246,0.0622903335470184,5.631190620053461e-08
2016-03-18,0.0622904079046831,0.0622903871489157,2.075576739646312e-08
2016-03-19,0.0622904164142626,0.0622904016748683,1.4739394295359975e-08
2016-03-20,0.0622904203285853,0.062290407954614,1.2373971298995645e-08
2016-03-21,0.0622904269445077,0.0622904140949732,1.2849534498926563e-08
2016-03-22,0.0622904257793514,0.0622904201028428,5.676508596508256e-09
2016-03-23,0.0622904184605669,0.0622904192612334,-8.006665053184037e-10
2016-03-24,0.0622904008991889,0.0622904105404084,-9.641219503309095e-09
2016-03-25,0.0622903850782115,0.0622903929917661,-7.913554596339356e-09
2016-03-26,0.0622903646693775,0.0622903795821666,-1.491278910081828e-08
2016-03-27,0.0622903491469297,0.0622903613037028,-1.2156773102067753e-08
2016-03-28,0.0622903365083048,0.0622903485802452,-1.2071940398705738e-08
2016-03-29,0.0622903269283065,0.0622903357696313,-8.841324797281835e-09
2016-03-30,0.0622903179162923,0.0622903266784927,-8.762200402745446e-09
2016-03-31,0.0622903139473503,0.0622903174188023,-3.4714520008582994e-09
2016-04-01,0.0622903142494659,0.0622903148364382,-5.869723040952124e-10
2016-04-02,0.0622903196747203,0.0622903162364821,3.4382381941533424e-09
2016-04-03,0.0622903308786089,0.0622903216257248,9.25288409781011e-09
2016-04-04,0.0622903386926352,0.0622903317496692,6.94296600073363e-09
2016-04-05,0.0622903443983165,0.0622903377327549,6.665561602670067e-09
2016-04-06,0.0622903481559917,0.0622903426659241,5.490067601920945e-09
2016-04-07,0.0622903531553398,0.0622903464821418,6.673198001128089e-09
2016-04-08,0.0622903616939951,0.0622903521263168,9.56767830240235e-09
2016-04-09,0.062290366256375,0.0622903602895534,5.9668215993124996e-09
2016-04-10,0.0622903702507199,0.0622903638745326,6.376187300372038e-09
2016-04-11,0.0622903755923805,0.0622903665279173,9.064463200869621e-09
2016-04-12,0.062290381403658,0.062290371463089,9.940568999888821e-09
2016-04-13,0.0622903867525462,0.062290377626922,9.125624200745364e-09
2016-04-14,0.0622903921269454,0.0622903829782631,9.148682297843713e-09
2016-04-15,0.0622904080680767,0.0622903880055417,2.00625350013639e-08
2016-04-16,0.0622904242785685,0.0622904024052332,2.1873335295796714e-08
2016-04-17,0.0622904419421091,0.0622904172912912,2.465081790081758e-08
2016-04-18,0.0622904564486931,0.0622904333775849,2.307110819749214e-08
2016-04-19,0.0622904711301706,0.0622904468377555,2.4292415093385422e-08
2016-04-20,0.062290490737416,0.0622904607495824,2.9987833598255076e-08
2016-04-21,0.0622904869575563,0.0622904788012337,8.156322596486465e-09
2016-04-22,0.0622904695087391,0.0622904745048534,-4.9961143000487596e-09
2016-04-23,0.0622904365049292,0.0622904564441968,-1.993926759813469e-08
2016-04-24,0.0622903940631805,0.0622904258341873,-3.1771006797631784e-08
2016-04-25,0.0622903488613174,0.0622903871375542,-3.8276236798140406e-08
2016-04-26,0.0622903091394787,0.062290345869935,-3.673045630148142e-08
2016-04-27,0.0622902655798625,0.0622903103033416,-4.4723479100672314e-08
2016-04-28,0.0622901622896247,0.0622902689603752,-1.0667075049652919e-07
2016-04-29,0.0622901609391017,0.0622901707153079,-9.776206198741644e-09
2016-04-30,0.0622901967316888,0.0622901722773998,2.4454288996555995e-08
2016-05-01,0.0622902103277306,0.0622902125677034,-2.2399728044630862e-09
2016-05-02,0.0622902030306895,0.0622902240233788,-2.099268929522946e-08
2016-05-03,0.0622901635091722,0.0622902104061734,-4.6897001199086574e-08
2016-05-04,0.0622901980783742,0.06229017294541,2.513296420286748e-08
2016-05-05,0.0622902306560836,0.062290206153653,2.4502430598372094e-08
2016-05-06,0.0622902229221751,0.0622902450392938,-2.211711869898325e-08
2016-05-07,0.0622902266472336,0.0622902342142283,-7.56699470444433e-09
2016-05-08,0.062290254670227,0.0622902335257915,2.1144435501108116e-08
2016-05-09,0.0622902527008759,0.0622902606047128,-7.903836897471539e-09
2016-05-10,0.0622902443409748,0.0622902558354184,-1.1494443598325521e-08
2016-05-11,0.0622902620517256,0.0622902518807768,1.017094880539915e-08
2016-05-12,0.0622902765872993,0.0622902692338817,7.353417597055767e-09
2016-05-13,0.0622903047372886,0.0622902846944216,2.0042867004965714e-08
2016-05-14,0.0622902680853742,0.0622903073208051,-3.923543090422754e-08
2016-05-15,0.0622902712130141,0.0622902693225996,1.890414498550985e-09
2016-05-16,0.0622902712130141,0.0622902730376303,-1.8246162011847922e-09
2016-05-17,0.0622902914762071,0.0622902765043963,1.4971810798070084e-08
