day_time,actual,pred,residual
2011-02-01,15.923040566282271,15.781797,0.14124315722465397
2011-02-02,0.6834906022110653,0.6415754,0.041915206150121675
2011-02-03,0.42816496849311847,0.45457563,-0.0264106595491026
2011-02-06,-0.8270623997430712,-0.7888389,-0.038223476765623654
2011-02-07,0.18881268189042147,0.2038128,-0.015000111006802958
2011-02-08,0.9494496178023764,0.91304016,0.036409456669563856
2011-02-09,0.09838230138440553,0.08461139,0.013770907873110208
2011-02-10,0.26327067842152163,0.24539791,0.017872767945790735
2011-02-11,0.26858319987420887,0.24547346,0.023109740511225163
2011-02-12,0.1143423472651625,0.11596971,-0.0016273627868508972
2011-02-13,0.5239051028509413,0.4359002,0.08800489151671276
2011-02-14,-0.013325145128318283,-0.015299826,0.0019746808007869987
2011-02-15,0.018594849029053343,-0.0054330295,0.024027878524232996
2011-02-16,0.1941170958544987,0.20396315,-0.009846049759171638
2011-02-17,0.8004832361522833,0.7560309,0.044452318984619765
2011-02-18,0.07710161440148845,0.07883201,-0.0017303935430954404
2011-02-19,-0.5877664023903917,-0.5897325,0.0019661253424574365
2011-02-20,-0.7845939269437923,-0.76062787,-0.023966061152471463
2011-02-21,-3.3005876464651407,-3.4297457,0.1291580276681601
2011-02-22,-0.008014111002024999,-0.015299826,0.007285714927080283
2011-02-23,-0.10906057354947667,-0.11490705,0.005846475093158679
2011-02-25,-0.2952231758157501,-0.29697198,0.0017488009412994776
2011-02-26,-0.6143566360674614,-0.5895822,-0.024774431248735795
2011-02-27,0.13562064469141233,0.12549086,0.010129785540525793
2011-02-28,0.2100849565171854,0.20396315,0.006121810903515046
2011-03-01,0.2100941370168811,0.20396315,0.006130991403210745
2011-03-02,0.22071897244736155,0.20396315,0.0167558268336912
2011-03-04,-1.0239083336220745,-1.0140077,-0.0099006460534099
2011-03-05,0.018596726560523316,-0.005282676,0.023879402407934472
2011-03-07,2.534600053269232,2.2552395,0.27936056657489594
2011-03-08,-0.28988139416394865,-0.2755651,-0.014316306368691079
2011-03-09,0.10901422035884811,0.08453585,0.024478368284225005
2011-03-10,-19.162457859570175,-19.08876,-0.07369748359361239
2011-03-11,19.59325435169126,19.301073,0.29218127735044064
2011-03-12,0.0717917751064021,0.07883201,-0.007040232838181795
2011-03-13,0.17816410898448498,0.15504552,0.02311858474494488
2011-03-14,0.18348576197617683,0.20396315,-0.020477383637493518
2011-03-15,0.24730668248103335,0.22243898,0.024867706312400845
2011-03-16,-0.4813853637667152,-0.4814988,0.00011344390197071119
2011-03-17,-0.6303487949799992,-0.5895822,-0.0407665901612736
2011-03-18,-0.17289542902839783,-0.20890948,0.03601405273544189
2011-03-19,-0.2792838925461679,-0.2755651,-0.003718804750910354
2011-03-20,-0.00799999308628513,-0.015299826,0.007299832842820151
2011-03-21,0.10370084553083206,0.08461139,0.01908945201953674
2011-03-22,-0.061196589974365175,-0.045988455,-0.01520813455959314
2011-03-23,-0.2314084975346431,-0.21755034,-0.013858160220037385
2011-03-24,-14.077308362710435,-14.153412,0.07610350252394049
2011-03-25,13.444301283225029,13.380773,0.06352869258782157
2011-03-26,0.32177880919448276,0.29373857,0.028040235404886205
2011-03-27,0.26327249504293093,0.30440167,-0.04112917088304868
2011-03-28,0.0824267542826588,0.078681655,0.003745099054520834
2011-03-29,87.82265281473967,86.568825,1.253828046673263
2011-03-30,0.2526393568098092,0.22243898,0.030200380641176694
2011-03-31,1.2738863946853536,1.4735548,-0.1996684549392802
2011-04-01,-0.6728689485910269,-0.6793386,0.0064696258184580024
2011-04-02,0.6728658396400149,0.617873,0.05499282662045313
2011-04-03,0.1568917733419138,0.12549086,0.03140091419102725
2011-04-04,-0.07183336123881233,-0.1150574,0.04322404012026894
2011-04-05,0.49730826127826494,0.43605056,0.0612576972275905
2011-04-06,0.2739266273666073,0.24547346,0.028453168003623575
2011-04-07,0.2579519391725571,0.2453231,0.012628832526019318
2011-04-08,0.3111414893165033,0.29358822,0.017553268243352682
2011-04-09,-0.17288802866752306,-0.20890948,0.03602145309631666
2011-04-10,-0.02396525703465042,-0.036390353,0.012425095959553146
2011-04-11,0.03454843336754385,0.036608342,-0.002059908713764512
2011-04-12,0.11434143287402643,0.08461139,0.02973003936273111
2011-04-13,-0.18883776033893132,-0.20890948,0.0200717214249084
2011-04-14,0.05582302437430495,0.036608342,0.019214682292996582
2011-04-15,-5.694181675640548,-5.7812557,0.0870740464053501
2011-04-16,0.47070557984777783,0.43605056,0.034655015797103395
2011-04-17,-0.2686227499609462,-0.2755651,0.006942337834311363
2011-04-18,0.16753405527490292,0.15497072,0.012563334864555936
2011-04-19,0.38561114124149926,0.3603194,0.02529173544735558
2011-04-20,-0.26329561062243795,-0.21755034,-0.045745273307832235
2011-04-21,0.18881871685077017,0.2038128,-0.014994076046454252
2011-04-22,1.2419566591481446,1.2057617,0.03619498808186039
2011-04-23,-0.28986092425945414,-0.2755651,-0.014295836464196576
2011-04-24,0.49200559086467355,0.43597502,0.05603057570125192
2011-04-25,0.4441202717431294,0.39564744,0.04847283536274305
2011-04-26,0.5292553699298194,0.4359002,0.09335515859559085
2011-04-27,0.4281781721234689,0.39549708,0.032681088459528496
2011-04-28,0.14094673544630715,0.1253405,0.015606229011866535
2011-04-29,0.4015695656033849,0.3913006,0.01026897675717825
2011-04-30,0.3164624840354044,0.29373857,0.022723910245807832
2011-05-01,-0.19949192935668933,-0.20905983,0.009567905123596315
2011-05-02,2.6994937215506263,2.7778459,-0.07835213797696161
2011-05-03,0.40688137982259026,0.39145094,0.015430438259937673
