"date","actual","fitted","residual"
2012-01-05,0.0043751732618376,0.00437514837569943,2.48861381692972e-08
2012-01-06,0.0043751947061747,0.00437517046072153,2.42454531720546e-08
2012-01-07,0.0043754485429161,0.00437519224404104,2.56298875055475e-07
2012-01-08,0.0043752530848044,0.00437543563899569,1.82554191286224e-07
2012-01-09,0.00437525511407945,0.00437525519053576,7.64563074309721e-11
2012-01-10,0.0043752571433545,0.00437525613546379,1.00789071099533e-09
2012-01-11,0.0043752497704823,0.00437525759101763,7.82053533043836e-09
2012-01-12,0.0043752430957417,0.00437525034430393,7.24856222874409e-09
2012-01-13,0.00437523152279055,0.00437524370440596,1.21816154108334e-08
2012-01-14,0.0043752199498394,0.00437523237375507,1.24239156670813e-08
2012-01-15,0.00437520837688825,0.00437522092900346,1.25521152126787e-08
2012-01-16,0.0043751968039371,0.00437520942388189,1.26199447905706e-08
2012-01-17,0.00437517374059143,0.00437519788681894,2.41462275096457e-08
2012-01-18,0.00437515067724577,0.00437517536761245,2.46903666817344e-08
2012-01-19,0.0043751276139001,0.00437515259216741,2.49782673052146e-08
2012-01-20,0.00437510743578808,0.00437512968114815,2.22453600791719e-08
2012-01-21,0.00437508725767605,0.00437510945176588,2.21940898289738e-08
2012-01-22,0.00437506707956403,0.00437508924652709,2.21669630619953e-08
2012-01-23,0.004375046901452,0.00437506905406246,2.2152610458688e-08
2012-01-24,0.0043751008281242,0.00437504886835656,5.19597676378047e-08
2012-01-25,0.0043750944591508,0.00437509940416481,4.94501400591374e-09
2012-01-26,0.0043750880901774,0.00437509399682702,5.90664962340365e-09
2012-01-27,0.00437507567818338,0.004375088136649,1.24584656159207e-08
2012-01-28,0.00437506326618937,0.00437507627004246,1.30038530958901e-08
2012-01-29,0.00437505085419535,0.00437506414660954,1.3292414191915e-08
2012-01-30,0.00437503844220133,0.00437505188729139,1.34450900577884e-08
2012-01-31,0.00437502603020732,0.00437503955607722,1.352586990154e-08
2012-02-01,0.0043750136182133,0.00437502718682331,1.35686100107349e-08
2012-02-02,0.0043750116882812,0.00437501479744282,3.10916161826852e-09
2012-02-03,0.0043750097583491,0.00437501240040875,2.64205964571607e-09
2012-02-04,0.004375007828417,0.00437501022333592,2.39491892116417e-09
2012-02-05,0.0043750058984849,0.00437500816264321,2.26415831396098e-09
2012-02-06,0.00437496475659603,0.0043750061635265,4.14069304616529e-08
2012-02-07,0.00437492361470717,0.00437496677715513,4.31624479655876e-08
2012-02-08,0.0043748824728183,0.00437492656409957,4.40912812683936e-08
2012-02-09,0.0043749585634385,0.00437488591365058,7.26497879199178e-08
2012-02-10,0.00437493827635735,0.0043749569063556,1.86299982463459e-08
2012-02-11,0.0043749179892762,0.00437493832679526,2.03375190637942e-08
2012-02-12,0.0043749031125558,0.00437491894315267,1.58305968715744e-08
2012-02-13,0.0043748905914853,0.00437490429716367,1.3705678365665e-08
2012-02-14,0.0043748853125058,0.00437489179051032,6.47800451562125e-09
2012-02-15,0.0043748676002437,0.00437488618817012,1.85879264202882e-08
2012-02-16,0.00437485797331733,0.00437486887306411,1.08997467813607e-08
2012-02-17,0.00437484834639097,0.00437485908674261,1.07403516471163e-08
2012-02-18,0.0043748387194646,0.00437484937548128,1.06560166818898e-08
2012-02-19,0.0043748269840728,0.00437483970393381,1.27198610125681e-08
2012-02-20,0.00437483986989797,0.00437482804129746,1.18286005027293e-08
2012-02-21,0.00437485275572313,0.00437483984034193,1.2915381202884e-08
2012-02-22,0.0043748656415483,0.00437485215115824,1.34903900567834e-08
2012-02-23,0.0043748491393771,0.00437486473274983,1.55933727302021e-08
2012-02-24,0.0043748326372059,0.00437484941274408,1.67755381825369e-08
2012-02-25,0.0043748161350347,0.00437483353604921,1.74010145095188e-08
2012-02-26,0.0043747996328635,0.00437481736481361,1.77319501130924e-08
2012-02-27,0.0043747815488606,0.00437480103773837,1.94888777659344e-08
2012-02-28,0.0043747634648577,0.00437478311867284,1.96538151421913e-08
2012-02-29,0.0043747795655995,0.00437476512193727,1.44436622271857e-08
2012-03-01,0.0043745945773323,0.00437477970649008,1.85129157777124e-07
2012-03-02,0.0043746680066506,0.0043746031064831,6.49001675023103e-08
2012-03-03,0.0043747414359689,0.00437466916339586,7.22725730347221e-08
2012-03-04,0.0043747374662849,0.00437473869202062,1.22573572038792e-09
2012-03-05,0.0043747239707338,0.00437473619590742,1.2225173619089e-08
2012-03-06,0.0043747104751827,0.00437472391537861,1.34401959093339e-08
2012-03-07,0.0043746969796316,0.00437471106268819,1.40830565863517e-08
2012-03-08,0.0043745502966783,0.00437469790727064,1.47610592339531e-07
2012-03-09,0.0043745683166336,0.00437455749140685,1.08252267453854e-08
2012-03-10,0.0043745863365889,0.00437457129974481,1.5036844091057e-08
2012-03-11,0.0043747673140669,0.00437458709135978,1.80222707123374e-07
2012-03-12,0.0043749482915449,0.00437475944211196,1.88849432938842e-07
2012-03-13,0.0043751243365239,0.00437493585524342,1.88481280478936e-07
2012-03-14,0.0043751528701874,0.00437510971068762,4.3159499776152e-08
2012-03-15,0.0043752846759119,0.00437514382766158,1.40848250323317e-07
2012-03-16,0.0043752807934976,0.00437527386758867,6.92590893230233e-09
2012-03-17,0.0043752787866707,0.00437527525232136,3.53434933490077e-09
2012-03-18,0.0043752771732932,0.00437527594658806,1.2267051428469e-09
2012-03-19,0.0043752755599157,0.00437527574436024,1.84444536900641e-10
2012-03-20,0.0043752715032432,0.00437527487761319,3.37436998568835e-09
2012-03-21,0.0043752629960784,0.00437527132764524,8.33156684355157e-09
2012-03-22,0.0043752598117377,0.00437526329197761,3.48023990875967e-09
2012-03-23,0.0043752487740981,0.00437526011383155,1.133973344912e-08
2012-03-24,0.0043752375183105,0.00437524943839254,1.19200820368828e-08
2012-03-25,0.0043752361228144,0.00437523838421312,2.26139871845749e-09
2012-03-26,0.0043752269614032,0.00437523664473707,9.68333386652115e-09
2012-03-27,0.0043752195886727,0.00437522765625753,8.06758483021947e-09
2012-03-28,0.0043752167098725,0.00437522029327517,3.58340266660984e-09
2012-03-29,0.0043752095115301,0.00437521721424442,7.70271431707603e-09
2012-03-30,0.0043751987358642,0.00437521010737937,1.13715151748087e-08
2012-03-31,0.0043751777072116,0.00437519954360968,2.18363980820924e-08
2012-04-01,0.0043751649243968,0.00437517909566715,1.41712703490351e-08
2012-04-02,0.0043750397523611,0.00437516624323897,1.26490877870936e-07
2012-04-03,0.004375144070425,0.00437504617094911,9.78994758853852e-08
2012-04-04,0.0043751258781783,0.00437514269876174,1.68205834451957e-08
2012-04-05,0.0043751093433633,0.00437512598388875,1.66405254471702e-08
2012-04-06,0.0043750875294187,0.00437511015499252,2.26255738242087e-08
2012-04-07,0.0043750712128511,0.00437508895581968,1.77429685848177e-08
2012-04-08,0.0043750580374742,0.00437507271327474,1.46758005427003e-08
2012-04-09,0.0043750477417735,0.00437505943349944,1.16917259389629e-08
2012-04-10,0.004375038580307,0.00437504895095099,1.03706439920012e-08
2012-04-11,0.0043750223513623,0.00437503963878608,1.72874237763451e-08
2012-04-12,0.0043750149352087,0.0043750236531161,8.7179073959831e-09
2012-04-13,0.0043750092639712,0.00437501596290246,6.69893125606474e-09
2012-04-14,0.00437500533834,0.00437501006691278,4.72857277899336e-09
2012-04-15,0.0043750028959801,0.00437500594258634,3.04660623812181e-09
2012-04-16,0.0043750028967059,0.00437500332730738,4.30601482422077e-10
2012-04-17,0.004374997269233,0.00437500312488529,5.85565228857637e-09
2012-04-18,0.0043749915106405,0.00437499764715635,6.13651584581432e-09
2012-04-19,0.0043749826545886,0.00437499197378506,9.31919645619228e-09
2012-04-20,0.0043749736677529,0.00437498330438782,9.63663491972827e-09
2012-04-21,0.0043749685202412,0.00437497442228721,5.90204600556948e-09
2012-04-22,0.0043749618019685,0.00437496915471974,7.35275123685958e-09
2012-04-23,0.0043749542982334,0.00437496244471552,8.14648211909519e-09
2012-04-24,0.0043749474055442,0.00437495498125358,7.5757093801268e-09
2012-04-25,0.0043749357571781,0.00437494808194574,1.23247676378849e-08
2012-04-26,0.004374785279312,0.00437493664742871,1.51368116711043e-07
2012-04-27,0.0043749159071421,0.00437479262769927,1.2327944282943e-07
2012-04-28,0.004374900942956,0.00437491382498208,1.28820260830026e-08
2012-04-29,0.0043748859787699,0.00437490052521348,1.45464435817935e-08
2012-04-30,0.0043748749849139,0.00437488644166024,1.14567463441531e-08
2012-05-01,0.004374860413444,0.00437487573228369,1.53188396924062e-08
2012-05-02,0.004374842133436,0.00437486147483947,1.93414034675363e-08
2012-05-03,0.0043748245080387,0.00437484353047356,1.90224348599333e-08
2012-05-04,0.0043748099367058,0.0043748260527444,1.61160386025899e-08
