day_time,actual,pred,residual
2016-03-07,-1.6915771665558403,-1.6880529,-0.0035242738709038157
2016-03-08,-1.6978961888596222,-1.6903133,-0.007582849626223798
2016-03-09,-1.1216551896953932,-1.1230978,0.0014425876712449437
2016-03-10,-1.1216551896953932,-1.1230978,0.0014425876712449437
2016-03-11,-0.939089455894573,-0.9394802,0.0003907296141549832
2016-03-12,-0.6364538751499812,-0.63658464,0.00013076439927417471
2016-03-13,-0.5378693590830385,-0.53718567,-0.0006836901377259563
2016-03-14,-0.4655658369414933,-0.46639454,0.0008287067062728304
2016-03-15,-0.25388268003742476,-0.25202644,-0.0018562413243510267
2016-03-16,-0.04380790799990895,-0.04437241,0.0005645015822291141
2016-03-17,0.30972396479166253,0.30961648,0.00010748849428399154
2016-03-18,0.4231912086997633,0.42236087,0.0008303414378766916
2016-03-19,0.4766973294142634,0.47681314,-0.00011580811701711324
2016-03-20,0.5013096175866387,0.5004731,0.0008365355210564474
2016-03-21,0.542908893157013,0.5431779,-0.000269009541503884
2016-03-22,0.5355826799724902,0.53779924,-0.0022165591861401657
2016-03-23,0.4895639822120834,0.48967132,-0.00010733751104585743
2016-03-24,0.37914240249449094,0.3780875,0.001054911697448091
2016-03-25,0.27966402915713834,0.2785026,0.0011614158510928063
2016-03-26,0.15133835384283373,0.1536502,-0.002311840563675671
2016-03-27,0.05373706040683926,0.05546124,-0.0017241786628609812
2016-03-28,-0.02573147143238401,-0.025147734,-0.0005837372224888754
2016-03-29,-0.08596811950726833,-0.08566952,-0.0002986019901784903
2016-03-30,-0.14263342475917923,-0.14030267,-0.002330751776963347
2016-03-31,-0.1675891454833517,-0.16821341,0.0006242666822900977
2016-04-01,-0.16568951770815665,-0.16227059,-0.003418927045200415
2016-04-02,-0.1315768665748817,-0.13175707,0.00018019907891925202
2016-04-03,-0.061129599934701954,-0.068004325,0.006874725097532237
2016-04-04,-0.011996944841869134,-0.01093981,-0.001057134416826028
2016-04-05,0.023878960959141115,0.024834787,-0.0009558265139414275
2016-04-06,0.04750628858518065,0.05033634,-0.002830049994474046
2016-04-07,0.07894094679215566,0.07747538,0.001465570364982044
2016-04-08,0.13262988889303262,0.13305837,-0.0004284802666658649
2016-04-09,0.1613169996437004,0.1609986,0.0003184019025733731
2016-04-10,0.18643244754505053,0.1898896,-0.003457147367478458
2016-04-11,0.22001948165147692,0.21927485,0.0007446329519072148
2016-04-12,0.25655935010090863,0.25629672,0.0002626260198692054
2016-04-13,0.2901918295625202,0.29014707,4.4763446187201517e-05
2016-04-14,0.3239847158264443,0.32270586,0.0012788509201332454
2016-04-15,0.42421858706917126,0.42337638,0.0008422056719239457
2016-04-16,0.5261461301337301,0.52315617,0.0029899640570699715
2016-04-17,0.637210082916108,0.63481665,0.0023934363401802994
2016-04-18,0.7284238772675639,0.7270684,0.0013554530427103417
2016-04-19,0.8207373584901965,0.81835556,0.002381798187462092
2016-04-20,0.9440228439273938,0.93900436,0.005018482297907689
2016-04-21,0.9202560256530088,0.92201567,-0.0017596413086611307
2016-04-22,0.8105422002732429,0.81037074,0.00017145699855414254
2016-04-23,0.6030224471889243,0.60428,-0.0012575477756753273
2016-04-24,0.3361592808739791,0.33569854,0.00046073589488365707
2016-04-25,0.05194120127191258,0.050772537,0.0011686647259206845
2016-04-26,-0.19781984704424083,-0.19436109,-0.0034587563841456115
2016-04-27,-0.4717118863369616,-0.47475773,0.003045844623884353
2016-04-28,-1.1211752273606623,-1.1215943,0.00041908244616140067
2016-04-29,-1.1296669802865067,-1.1367557,0.007088724593254048
2016-04-30,-0.904612089388677,-0.9036985,-0.0009135854175771341
2016-05-01,-0.8191235580449155,-0.8198567,0.0007331452364870428
2016-05-02,-0.8650055386749963,-0.8655094,0.000503852155997353
2016-05-03,-1.1135070158310207,-1.1091423,-0.004364712364223866
2016-05-04,-0.8961444663182938,-0.8926179,-0.003526585020228623
2016-05-05,-0.6913039272778376,-0.69483113,0.003527205610956319
2016-05-06,-0.739932821550633,-0.7381303,-0.0018025501158490664
2016-05-07,-0.7165105796331767,-0.71484345,-0.0016671276564005355
2016-05-08,-0.5403089626185412,-0.5417217,0.0014127390034680554
2016-05-09,-0.552691752817825,-0.5541575,0.001465742680832216
2016-05-10,-0.6052567329912906,-0.6043927,-0.0008640256434206961
2016-05-11,-0.4938959341996297,-0.4962514,0.0023554700858012256
2016-05-12,-0.4024998598233347,-0.40675628,0.004256422029387474
2016-05-13,-0.2254997241567285,-0.22826938,0.0027696591545431637
2016-05-14,-0.45595785158614277,-0.45576683,-0.00019102471808551957
2016-05-15,-0.43629202928932986,-0.43396065,-0.0023313828984149465
2016-05-16,-0.43629202928932986,-0.4341847,-0.002107329038704253
2016-05-17,-0.30888210842085395,-0.31104514,0.0021630316071459266
2016-05-18,-0.28328837013153985,-0.2811654,-0.002122978924798513
2016-05-19,-0.1758198429507832,-0.1728511,-0.0029687423867802154
2016-05-20,-0.0001271219682756782,-0.0022897103,0.0021625883652951596
2016-05-21,0.060888437025885214,0.06065489,0.00023354723368131103
2016-05-22,-0.2810904614859329,-0.27915835,-0.0019321076803909265
2016-05-23,0.006535873681650641,0.009468684,-0.0029328102913041094
2016-05-24,0.3077631458415881,0.3095137,-0.0017505422458752862
2016-05-25,0.22584707027949316,0.22786981,-0.002022738394365481
2016-05-26,0.011899211196008397,0.009883879,0.002015332443419171
2016-05-27,0.21630390594383878,0.21441537,0.001888534525839508
2016-05-28,0.3903066736492026,0.3899961,0.00031056225622771993
2016-05-29,0.3018397123994074,0.3029674,-0.0011276869593420114
