"date","actual","fitted","residual"
2016-03-04,0.0622901374821452,0.0622278473758103,6.22901063348572e-05
2016-03-05,0.0622901245851963,0.0622901380103614,1.34251650629746e-08
2016-03-06,0.0622900849181995,0.0622901244734837,3.95552841869762e-08
2016-03-07,0.0622900715732621,0.0622900845820063,1.30087442484772e-08
2016-03-08,0.0622900705682888,0.0622900714614323,8.93143503599703e-10
2016-03-09,0.0622901622132918,0.0622900705602362,9.16530555963857e-08
2016-03-10,0.0622901622132918,0.0622901629911539,7.77862114997863e-10
2016-03-11,0.0622901912484303,0.0622901622099738,2.90384564588519e-08
2016-03-12,0.0622902393794011,0.0622901914948773,4.78845238183201e-08
2016-03-13,0.06229025505822,0.0622902397868567,1.52713633336243e-08
2016-03-14,0.0622902665573263,0.0622902551895544,1.13677718904803e-08
2016-03-15,0.0622903002232813,0.0622902666543636,3.35689176941822e-08
2016-03-16,0.0622903336334398,0.0622903005086038,3.31248359922154e-08
2016-03-17,0.0622903898589246,0.0622903339157881,5.59431364705043e-08
2016-03-18,0.0622904079046831,0.0622903903349284,1.75697546858644e-08
2016-03-19,0.0622904164142626,0.0622904080558143,8.35844832236532e-09
2016-03-20,0.0622904203285853,0.0622904164858422,3.84274314452204e-09
2016-03-21,0.0622904269445077,0.0622904203615024,6.58300530059774e-09
2016-03-22,0.0622904257793514,0.0622904270005193,1.22116786821502e-09
2016-03-23,0.0622904184605669,0.0622904257692233,7.30865643699952e-09
2016-03-24,0.0622904008991889,0.0622904183984926,1.74993037491133e-08
2016-03-25,0.0622903850782115,0.0622904007504032,1.56721917388136e-08
2016-03-26,0.0622903646693775,0.0622903849445672,2.02751896868913e-08
2016-03-27,0.0622903491469297,0.0622903644967296,1.53497999241803e-08
2016-03-28,0.0622903365083048,0.0622903490159209,1.25076161025528e-08
2016-03-29,0.0622903269283065,0.0622903364015946,9.47328805678271e-09
2016-03-30,0.0622903179162923,0.0622903268474524,8.93116010314277e-09
2016-03-31,0.0622903139473503,0.0622903178401486,3.8927983128656e-09
2016-04-01,0.0622903142494659,0.0622903139139891,3.35476806057056e-10
2016-04-02,0.0622903196747203,0.0622903142521724,5.42254792457175e-09
2016-04-03,0.0622903308786089,0.0622903197207551,1.11578538422585e-08
2016-04-04,0.0622903386926352,0.0622903309735044,7.71913077901587e-09
2016-04-05,0.0622903443983165,0.0622903387585512,5.63976531448018e-09
2016-04-06,0.0622903481559917,0.0622903444464617,3.70952996792129e-09
2016-04-07,0.0622903531553398,0.0622903481876792,4.96766057456188e-09
2016-04-08,0.0622903616939951,0.0622903531976361,8.49635899136114e-09
2016-04-09,0.062290366256375,0.0622903617662857,4.49008932812411e-09
2016-04-10,0.0622903702507199,0.0622903662947894,3.95593051372156e-09
2016-04-11,0.0622903755923805,0.0622903702844576,5.30792285124981e-09
2016-04-12,0.062290381403658,0.0622903756375734,5.76608460284289e-09
2016-04-13,0.0622903867525462,0.0622903814527879,5.29975833357677e-09
2016-04-14,0.0622903921269454,0.0622903867977348,5.32921060752978e-09
2016-04-15,0.0622904080680767,0.0622903921723673,1.58957093807088e-08
2016-04-16,0.0622904242785685,0.0622904082031817,1.60753867925467e-08
2016-04-17,0.0622904419421091,0.0622904244155771,1.75265319687923e-08
2016-04-18,0.0622904564486931,0.0622904420914422,1.43572508742862e-08
2016-04-19,0.0622904711301706,0.0622904565711793,1.45589912972643e-08
2016-04-20,0.062290490737416,0.0622904712542557,1.94831603003709e-08
2016-04-21,0.0622904869575563,0.0622904909033012,3.94574494605449e-09
2016-04-22,0.0622904695087391,0.0622904869247675,1.74160284388547e-08
2016-04-23,0.0622904365049292,0.0622904693607839,3.28558546758284e-08
2016-04-24,0.0622903940631805,0.0622904362254438,4.21622632709728e-08
2016-04-25,0.0622903488613174,0.0622903937041526,4.48428351534913e-08
2016-04-26,0.0622903091394787,0.0622903484792025,3.93397238465654e-08
2016-04-27,0.0622902655798625,0.0622903088039735,4.32241109779574e-08
2016-04-28,0.0622901622896247,0.0622902652115857,1.029219610163e-07
2016-04-29,0.0622901609391017,0.0622901614145301,4.75428349466789e-10
2016-04-30,0.0622901967316888,0.062290160931372,3.58003168290932e-08
2016-05-01,0.0622902103277306,0.0622901970355078,1.3292222836303e-08
2016-05-02,0.0622902030306895,0.0622902104418297,7.41114020152978e-09
2016-05-03,0.0622901635091722,0.0622902029682699,3.9459097711525e-08
2016-05-04,0.0622901980783742,0.0622901631740035,3.49043706646124e-08
2016-05-05,0.0622902306560836,0.0622901983732065,3.22828771076589e-08
2016-05-06,0.0622902229221751,0.062290230931326,8.00915093968069e-09
2016-05-07,0.0622902266472336,0.0622902228553603,3.79187330840081e-09
2016-05-08,0.062290254670227,0.0622902266791347,2.79910923467463e-08
2016-05-09,0.0622902527008759,0.0622902549079333,2.207057370196e-09
2016-05-10,0.0622902443409748,0.0622902526831473,8.34217250139657e-09
2016-05-11,0.0622902620517256,0.0622902442700966,1.77816290025667e-08
2016-05-12,0.0622902765872993,0.0622902622023462,1.43849531453188e-08
2016-05-13,0.0622903047372886,0.0622902767100261,2.80272625524658e-08
2016-05-14,0.0622902680853742,0.0622903049756853,3.68903111253038e-08
2016-05-15,0.0622902712130141,0.0622902677732779,3.43973622501936e-09
2016-05-16,0.0622902712130141,0.0622902712408909,2.78767703365546e-11
2016-05-17,0.0622902914762071,0.0622902712128952,2.02633119034124e-08
2016-05-18,0.062290295546619,0.0622902916481894,3.89842957915221e-09
2016-05-19,0.0622903126383454,0.0622902955804326,1.70579127697912e-08
