model,window_days,threshold,precision,recall
arima,1,5.354700190196571e-12,0.017035775127768313,0.9090909090909091
arima,1,8.18100014815526e-12,0.017050298380221655,0.9090909090909091
arima,1,9.390300169387356e-12,0.017064846416382253,0.9090909090909091
arima,1,4.765629991326792e-11,0.017079419299743808,0.9090909090909091
arima,1,5.786450051753489e-11,0.017094017094017096,0.9090909090909091
arima,1,1.421525007080926e-10,0.01710863986313088,0.9090909090909091
arima,1,1.5590270047161067e-10,0.017123287671232876,0.9090909090909091
arima,1,1.6150600041370256e-10,0.01713796058269066,0.9090909090909091
arima,1,1.6726410013989668e-10,0.017152658662092625,0.9090909090909091
arima,1,1.8364200004422624e-10,0.017167381974248927,0.9090909090909091
arima,1,2.163717000708276e-10,0.01718213058419244,0.9090909090909091
arima,1,2.2256370010853568e-10,0.017196904557179708,0.9090909090909091
arima,1,2.3502780017309316e-10,0.01721170395869191,0.9090909090909091
arima,1,2.9556610024045193e-10,0.017226528854435832,0.9090909090909091
arima,1,3.0076819940855204e-10,0.017241379310344827,0.9090909090909091
arima,1,3.0618649976554835e-10,0.01725625539257981,0.9090909090909091
arima,1,3.3500589975699047e-10,0.017271157167530225,0.9090909090909091
arima,1,3.3796639965777415e-10,0.01728608470181504,0.9090909090909091
arima,1,4.376576002648736e-10,0.01730103806228374,0.9090909090909091
arima,1,4.5481809984870836e-10,0.017316017316017316,0.9090909090909091
arima,1,4.565031998249313e-10,0.01733102253032929,0.9090909090909091
arima,1,4.581729995400962e-10,0.017346053772766695,0.9090909090909091
arima,1,5.109411999396074e-10,0.017361111111111112,0.9090909090909091
arima,1,5.62275699958481e-10,0.01737619461337967,0.9090909090909091
arima,1,5.833577006869595e-10,0.017391304347826087,0.9090909090909091
arima,1,6.064872996175419e-10,0.017406440382941687,0.9090909090909091
arima,1,6.215742998430528e-10,0.017421602787456445,0.9090909090909091
arima,1,6.339360000481853e-10,0.017436791630340016,0.9090909090909091
arima,1,6.43277099990347e-10,0.017452006980802792,0.9090909090909091
arima,1,6.48813900175349e-10,0.017467248908296942,0.9090909090909091
arima,1,7.006380007418266e-10,0.017482517482517484,0.9090909090909091
arima,1,8.519825999211971e-10,0.017497812773403325,0.9090909090909091
arima,1,8.519931002023973e-10,0.017513134851138354,0.9090909090909091
arima,1,8.57816399510436e-10,0.017528483786152498,0.9090909090909091
arima,1,8.595186003906852e-10,0.017543859649122806,0.9090909090909091
arima,1,8.689551994622845e-10,0.01755926251097454,0.9090909090909091
arima,1,8.732254997215193e-10,0.01757469244288225,0.9090909090909091
arima,1,8.990973998299067e-10,0.01759014951627089,0.9090909090909091
arima,1,9.426802003928423e-10,0.017605633802816902,0.9090909090909091
arima,1,9.43742000346359e-10,0.01762114537444934,0.9090909090909091
arima,1,9.470583007056832e-10,0.01763668430335097,0.9090909090909091
arima,1,9.50478500592877e-10,0.0176522506619594,0.9090909090909091
arima,1,9.742610000001983e-10,0.0176678445229682,0.9090909090909091
arima,1,1.0255534000150335e-09,0.01768346595932803,0.9090909090909091
arima,1,1.0469434000293099e-09,0.017699115044247787,0.9090909090909091
arima,1,1.0578906995198367e-09,0.01771479185119575,0.9090909090909091
arima,1,1.0771610001528154e-09,0.01773049645390071,0.9090909090909091
arima,1,1.0953352998915864e-09,0.01774622892635315,0.9090909090909091
arima,1,1.1017920993963704e-09,0.017761989342806393,0.9090909090909091
arima,1,1.103106399627518e-09,0.017777777777777778,0.9090909090909091
arima,1,1.1096857001000047e-09,0.017793594306049824,0.9090909090909091
arima,1,1.112859499864671e-09,0.017809439002671415,0.9090909090909091
arima,1,1.114596200058049e-09,0.017825311942959002,0.9090909090909091
arima,1,1.143693100294496e-09,0.01784121320249777,0.9090909090909091
arima,1,1.1488790994940155e-09,0.017857142857142856,0.9090909090909091
arima,1,1.1549407992472727e-09,0.017873100983020553,0.9090909090909091
arima,1,1.1569945002065651e-09,0.017889087656529516,0.9090909090909091
arima,1,1.1771010997516096e-09,0.017905102954341987,0.9090909090909091
arima,1,1.2070751993428772e-09,0.017921146953405017,0.9090909090909091
arima,1,1.2107142996486964e-09,0.017937219730941704,0.9090909090909091
arima,1,1.2978295001186966e-09,0.017953321364452424,0.9090909090909091
arima,1,1.328586500363993e-09,0.017969451931716084,0.9090909090909091
arima,1,1.349536599658252e-09,0.017985611510791366,0.9090909090909091
arima,1,1.4059399000912463e-09,0.018001800180018002,0.9090909090909091
